Time_Interval,Mean_Migration_Meters,StdDev_Migration_Meters
201601-201602,233.46119772036627,196.42133074527874
201602-201603,223.36537625026193,216.70901631763573
201603-201604,237.47722681598987,301.63766099083597
201604-201605,228.78112113929595,278.4721792220311
201605-201606,205.63174950055773,219.5960954888302
201606-201607,260.17442549620466,234.7691845577158
201607-201608,185.54867313378276,152.73505039760448
201608-201609,229.28175252153667,194.02582907080128
201609-201610,291.1702281098783,320.59603885279824
201610-201611,212.64554169947442,272.6352189939695
201611-201612,193.79525984857054,162.2379537056036
201612-201701,257.23895542163257,190.8424935887596
201701-201702,192.19393537026343,148.2904136464777
201702-201703,179.48935623896443,146.70859331901931
201703-201704,195.40234280292844,152.63228781316292
201704-201705,185.59262812008174,161.86034937213518
201705-201706,178.32966325644514,170.28974360279793
201706-201707,189.16153791288352,180.2497922953531
201707-201708,193.09966664935922,187.58157220477136
201708-201709,190.91969262537324,175.5516492796787
201709-201710,191.97475748398224,166.29073679155118
201710-201711,177.60321646545472,158.94749166373256
201711-201712,217.21778705399507,165.97794877345152
201712-201801,252.57919971594714,272.09132057635594
201801-201802,235.73689329776872,282.599802222579
201802-201803,184.47560327596406,137.04489706098968
201803-201804,175.00932093126275,132.13942837721146
201804-201805,183.63317600334727,170.9407562443562
201805-201806,171.9343798997893,162.69381404164233
201806-201807,194.82829356814355,213.09716445206482
201807-201808,191.8294617144179,193.14864073336014
201808-201809,192.56554748801463,161.9937824304349
201809-201810,208.40744672581445,191.93305685810276
201810-201811,263.4415337654526,353.1223411909884
201811-201812,206.85111839170577,191.40704539542966
201812-201901,176.7595221737014,150.9069040621214
201901-201902,222.99336122023527,182.42964867934455
201902-201903,218.01334760775853,206.25862209706906
201903-201904,199.03047182028334,177.6512451793797
201904-201905,167.41886475395606,142.89003755769915
201905-201906,193.73222812338565,158.42175470998592
201906-201907,193.15309307491745,177.94873939644438
201907-201908,192.38495218539006,181.5684211593526
201908-201909,213.85040306303702,255.608740077175
201909-201910,256.0885372288588,353.9375827375621
201910-201911,202.8426065511489,180.03876629308553
201911-201912,194.37222756988245,151.23702636671402
201912-202001,226.86724286011014,294.70027387732154
202001-202002,224.1967633281924,258.04150129386517
202002-202003,166.7381931341367,144.03819452039727
202003-202004,203.47007203990282,193.44067181626482
202004-202005,221.52635960456647,212.35233714498662
202005-202006,211.23968524523556,157.29505648241175
202006-202007,191.0734641257378,150.51015142922208
202007-202008,175.65542875290308,140.9493881832804
202008-202009,197.0391184868242,243.34712784147416
202009-202010,157.22693668921457,111.84192176894791
202010-202011,172.95692530561064,142.46131854720204
202011-202012,178.8018335679428,177.7237091592896
202012-202101,183.78503354334967,169.8511700639844
202101-202102,328.9818440028572,455.75799586500597
202102-202103,232.15965344525296,230.35293021912545
202103-202104,187.75599137298047,253.57693068941342
202104-202105,210.5853081854266,247.7037131038886
202105-202106,200.5968261016371,139.9089177484278
202106-202107,143.37459639733123,112.74583523188473
202107-202108,179.07830718542746,167.12385580551572
202108-202109,189.5468830641589,239.7297952714595
202109-202110,214.89621655548464,278.1611525853164
202110-202111,183.95957112643563,185.5701335144552
202111-202112,219.14767558141943,200.58066552479968
202112-202201,197.90968102377548,213.84214607532823
202201-202202,269.22991797992916,346.48725694141456
202202-202203,182.07651698543114,165.08878799796253
202203-202204,173.93335770632314,144.68101749710235
202204-202205,166.87905715719984,118.56220158340196
202205-202206,183.47305397491675,178.83021089429644
202206-202207,287.08045715303973,355.8096846676891
202207-202208,292.18276022139906,337.1987643461377
202208-202209,211.91432134901405,184.62497129853446
202209-202210,178.45609290416826,174.17244045026698
202210-202211,255.890623383194,352.6596809303763
202211-202212,201.21063386906778,163.24249372926553
202212-202301,233.57295497050816,198.28172402299276
202301-202302,209.73756835377867,151.21299322774644
202302-202303,223.0291884721262,251.5951045054811
202303-202304,262.58390841205846,290.00731190155045
202304-202305,215.9158482864713,194.4434496677315
202305-202306,197.66435953478344,173.93572415035962
202306-202307,190.38840755114887,175.52425884849677
202307-202308,243.6885486962156,320.9508606760437
202308-202309,178.1995185678707,137.4247608729182
202309-202310,159.33911343207072,157.4437747829644
202310-202311,220.6777001493965,266.6505428417564
202311-202312,212.0510105927509,222.06713998558146
202312-202401,300.3603961738866,334.6319813508126
202401-202402,308.4631165350316,378.40555209404613
202402-202403,270.13721064104686,332.45885266338274
202403-202404,228.50013079247438,261.73089067372587
202404-202405,215.80489287388326,182.63203361200348
202405-202406,179.9978873171887,131.0779136513895
202406-202407,315.9022289208856,292.8812553858972
202407-202408,285.08132977367427,316.65922528685485
202408-202409,200.24760150763282,214.5902522366543
202409-202410,286.90362237079046,400.83258676063645
202410-202411,209.19140281800497,179.04098493519052
202411-202412,229.7719286340849,212.25173144962295
