Date,D50
9-Jan,0.222857143
9-Feb,0.227692308
9-Mar,0.218901099
9-Apr,0.232087912
9-May,0.216923077
9-Jun,0.225054945
9-Jul,0.225164835
9-Aug,0.24021978
9-Sep,0.256703297
9-Oct,0.252747253
9-Nov,0.245714286
9-Dec,0.238241758
10-Jan,0.244139131
10-Feb,0.238581675
10-Mar,0.23716275
10-Apr,0.242165001
10-May,0.242818943
10-Jun,0.243237898
10-Jul,0.250634335
10-Aug,0.265311965
10-Sep,0.267490471
10-Oct,0.29067495
10-Nov,0.276846446
10-Dec,0.272437202
11-Jan,0.269216645
11-Feb,0.25957702
11-Mar,0.249467549
11-Apr,0.236392711
11-May,0.240812875
11-Jun,0.246387123
11-Jul,0.243195544
11-Aug,0.258439259
11-Sep,0.269762194
11-Oct,0.261288167
11-Nov,0.270543265
11-Dec,0.267680899
12-Jan,0.257745859
12-Feb,0.255570648
12-Mar,0.253017055
12-Apr,0.244977897
12-May,0.248559393
12-Jun,0.271764368
12-Jul,0.279643947
12-Aug,0.284810674
12-Sep,0.305449012
12-Oct,0.303636096
12-Nov,0.286397666
12-Dec,0.257730493
13-Jan,0.244668192
13-Feb,0.238077803
13-Mar,0.242471396
13-Apr,0.243266717
13-May,0.247231121
13-Jun,0.264439359
13-Jul,0.272372235
13-Aug,0.307459954
13-Sep,0.279206712
13-Oct,0.271762014
13-Nov,0.276887872
13-Dec,0.287139588
14-Jan,0.251585488
14-Feb,0.247416043
14-Mar,0.249340826
14-Apr,0.242418019
14-May,0.249977611
14-Jun,0.251744459
14-Jul,0.260549656
14-Aug,0.267511157
14-Sep,0.270982511
14-Oct,0.240884053
14-Nov,0.23231039
14-Dec,0.230076518
