month,Q,W,D,E_rate,physical_ds,W_std,D_std,month_int
201601,7883.87,753.27,4.671210194287235,6.851391e-05,0.000261,329.94,2.6302,201601
201602,7281.72,775.36,4.0164788474499336,9.235649e-05,0.000251,317.9,2.9618,201602
201603,8389.68,764.7,4.671210194287235,6.606032e-05,0.000251,338.8,1.9009,201603
201604,12330.33,770.41,5.868051379394531,6.972584e-05,0.000247,339.57,3.019,201604
201605,15554.84,765.74,5.394370541000993,9.353432e-05,0.000239,333.6,2.1698,201605
201606,19106.67,781.31,5.595602314646651,7.311566e-05,0.000252,334.5,2.4044,201606
201607,23845.16,770.71,6.348606868999001,5.320346e-05,0.000256,333.51,2.8086,201607
201608,19116.13,784.47,7.5584990700699,8.212041e-05,0.000269,341.28,2.3448,201608
201609,10651.0,752.49,4.671210194287235,8.539277e-05,0.000275,347.93,2.5147,201609
201610,9449.35,775.89,4.671210194287235,6.552254e-05,0.000276,335.63,1.9823,201610
201611,10181.0,771.02,4.671210194287235,6.039009e-05,0.000268,334.57,2.4254,201611
201612,7257.42,771.15,4.671210194287235,9.156854e-05,0.000258,333.75,2.6799,201612
201701,6621.94,735.83,4.671210194287235,7.333818e-05,0.000245,319.6,2.3569,201701
201702,6928.93,731.94,4.671210194287235,9.813655e-05,0.000245,317.14,2.3791,201702
201703,8316.13,743.2,4.671210194287235,8.39517e-05,0.000245,319.65,2.0908,201703
201704,11050.33,781.13,4.671210194287235,7.037631e-05,0.000243,338.9,1.8522,201704
201705,14612.9,782.61,5.16861808637216,7.614014e-05,0.000241,340.57,2.3588,201705
201706,17260.0,783.36,6.348606868999001,7.451246e-05,0.000251,337.68,2.4131,201706
201707,19141.94,789.85,7.160641562444116,5.853867e-05,0.000255,337.56,2.455,201707
201708,16751.61,789.91,6.078250634519359,5.631878e-05,0.00027,335.43,2.779,201708
201709,17656.67,787.95,6.267371293902397,6.336192e-05,0.000274,336.24,2.445,201709
201710,19745.16,790.47,6.3415544658899305,6.891198e-05,0.000271,339.23,2.0873,201710
201711,10034.0,774.76,5.0445359430393255,0.000109232,0.000265,345.15,2.6489,201711
201712,7266.77,771.61,4.671210194287235,0.0001334349,0.000257,339.54,2.4918,201712
201801,8172.26,724.43,4.671210194287235,7.029506e-05,0.000249,357.8,2.2942,201801
201802,7878.57,729.23,4.671210194287235,6.989628e-05,0.000245,354.31,2.2839,201802
201803,7938.39,738.68,4.671210194287235,5.859904e-05,0.00024,358.18,2.3471,201803
201804,9679.0,733.15,4.3808242526789885,6.877774e-05,0.000239,350.08,2.3113,201804
201805,15677.42,736.56,5.463282029225517,7.78132e-05,0.000242,352.21,2.3085,201805
201806,15026.67,737.88,5.678811826366437,7.13367e-05,0.00025,354.19,2.3451,201806
201807,29990.32,762.25,6.798073441277287,7.04794e-05,0.000254,347.0,2.2611,201807
201808,23654.84,758.18,6.348606868999001,5.64121e-05,0.00027,345.52,1.6925,201808
201809,14590.0,750.29,4.879397970943128,7.450963e-05,0.000273,346.17,2.2001,201809
201810,14129.35,744.11,5.250746258880056,6.847644e-05,0.000266,350.35,2.265,201810
201811,10109.0,736.81,4.803477688583036,0.0001011802,0.000262,357.56,2.0554,201811
201812,7017.1,710.18,4.671210194287235,0.0001135201,0.000256,355.8,2.2179,201812
201901,8611.94,745.91,4.82222101441466,7.752791e-05,0.000252,340.52,2.4798,201901
201902,7200.71,741.7,4.671210194287235,7.203508e-05,0.000246,341.35,2.4411,201902
