month,WSE,bed_mode,D_eff,D_eff_raw,scale,n_total,n_positive,positive_fraction
201601,25.0,segmented,4.671210194287235,4.671210194287235,1.0,1000,730,0.73
201602,24.28551254272461,segmented,4.0164788474499336,4.0164788474499336,1.0,1000,708,0.708
201603,25.0,segmented,4.671210194287235,4.671210194287235,1.0,1000,730,0.73
201604,26.396423721313475,segmented,5.868051379394531,5.868051379394531,1.0,1000,779,0.779
201605,25.831929779052736,segmented,5.394370541000993,5.394370541000993,1.0,1000,759,0.759
201606,26.06709289550781,segmented,5.595602314646651,5.595602314646651,1.0,1000,767,0.767
201607,27.0,segmented,6.348606868999001,6.348606868999001,1.0,1000,803,0.803
201608,28.772010803222656,segmented,7.5584990700699,7.5584990700699,1.0,1000,889,0.889
201609,25.0,segmented,4.671210194287235,4.671210194287235,1.0,1000,730,0.73
201610,25.0,segmented,4.671210194287235,4.671210194287235,1.0,1000,730,0.73
201611,25.0,segmented,4.671210194287235,4.671210194287235,1.0,1000,730,0.73
201612,25.0,segmented,4.671210194287235,4.671210194287235,1.0,1000,730,0.73
201701,25.0,segmented,4.671210194287235,4.671210194287235,1.0,1000,730,0.73
201702,25.0,segmented,4.671210194287235,4.671210194287235,1.0,1000,730,0.73
201703,25.0,segmented,4.671210194287235,4.671210194287235,1.0,1000,730,0.73
201704,25.0,segmented,4.671210194287235,4.671210194287235,1.0,1000,730,0.73
201705,25.566006469726563,segmented,5.16861808637216,5.16861808637216,1.0,1000,749,0.749
201706,27.0,segmented,6.348606868999001,6.348606868999001,1.0,1000,803,0.803
201707,28.257219314575195,segmented,7.160641562444116,7.160641562444116,1.0,1000,873,0.873
201708,26.651369094848636,segmented,6.078250634519359,6.078250634519359,1.0,1000,788,0.788
201709,26.89363899230957,segmented,6.267371293902397,6.267371293902397,1.0,1000,798,0.798
201710,26.974802780151368,segmented,6.3415544658899305,6.3415544658899305,1.0,1000,800,0.8
201711,25.41758613586426,segmented,5.0445359430393255,5.0445359430393255,1.0,1000,743,0.743
201712,25.0,segmented,4.671210194287235,4.671210194287235,1.0,1000,730,0.73
201801,25.0,segmented,4.671210194287235,4.671210194287235,1.0,1000,730,0.73
201802,25.0,segmented,4.671210194287235,4.671210194287235,1.0,1000,730,0.73
201803,25.0,segmented,4.671210194287235,4.671210194287235,1.0,1000,730,0.73
201804,24.68379020690918,segmented,4.3808242526789885,4.3808242526789885,1.0,1000,721,0.721
201805,25.906194305419923,segmented,5.463282029225517,5.463282029225517,1.0,1000,761,0.761
201806,26.170917892456057,segmented,5.678811826366437,5.678811826366437,1.0,1000,772,0.772
201807,27.670798110961915,segmented,6.798073441277287,6.798073441277287,1.0,1000,839,0.839
201808,27.0,segmented,6.348606868999001,6.348606868999001,1.0,1000,803,0.803
201809,25.22920799255371,segmented,4.879397970943128,4.879397970943128,1.0,1000,736,0.736
201810,25.65305862426758,segmented,5.250746258880056,5.250746258880056,1.0,1000,751,0.751
201811,25.14249992370605,segmented,4.803477688583036,4.803477688583036,1.0,1000,733,0.733
201812,25.0,segmented,4.671210194287235,4.671210194287235,1.0,1000,730,0.73
201901,25.16841163635254,segmented,4.82222101441466,4.82222101441466,1.0,1000,735,0.735
201902,25.0,segmented,4.671210194287235,4.671210194287235,1.0,1000,730,0.73
201903,25.2796932220459,segmented,4.926276050444988,4.926276050444988,1.0,1000,737,0.737
201904,25.135152435302736,segmented,4.7995793502078525,4.7995793502078525,1.0,1000,732,0.732
201905,25.0,segmented,4.671210194287235,4.671210194287235,1.0,1000,730,0.73
201906,27.205784225463866,segmented,6.515954120659534,6.515954120659534,1.0,1000,810,0.81
201907,27.67840003967285,segmented,6.805676132927678,6.805676132927678,1.0,1000,839,0.839
201908,27.805905151367188,segmented,6.889629622827941,6.889629622827941,1.0,1000,846,0.846
