Year,Month,Mean_WSE,StdDev_WSE,Mean_Depth,StdDev_Depth,Pixel_Count,Mean_Depth_Along,StdDev_Depth_Along,Valid_Nodes
2016,1,22.0,4.3266397,4.0,4.3266397,2130799,0.8171646192426512,2.14005976506203,676
2016,2,22.0,4.3283777,4.0,4.3283777,2134117,0.8924590038583298,2.0780643131225554,726
2016,3,22.0,4.330594,4.0,4.330594,2142318,0.7427053512039408,2.015427814878256,686
2016,4,22.0,4.3276114,4.0,4.3276114,2146846,1.019414845645789,2.390901542937072,660
2016,5,22.0,4.3332806,4.0,4.3332806,2147828,0.8055968231242301,2.0711591692030233,742
2016,6,22.0,4.3345504,4.0,4.3345504,2149910,0.7328530744224321,2.026883963921218,703
2016,7,22.0,4.328922,4.0,4.328922,2150968,0.6821957143370869,1.9099374024751177,684
2016,8,22.0,4.3277426,4.0,4.3277426,2161096,0.7863942613110099,2.140417664062192,679
2016,9,22.0,4.315275,4.0,4.315275,2119648,1.0323679309331342,2.3175504670356797,661
2016,10,22.0,4.33282,4.0,4.33282,2150632,0.7639998614031742,2.02028185185651,662
2016,11,22.0,4.3300295,4.0,4.3300295,2146817,0.5874188325056473,1.6027831897997824,677
2016,12,22.0,4.3292537,4.0,4.3292537,2142990,0.6797030613280558,1.9051015893601326,706
2017,1,22.0,4.324995,4.0,4.324995,2136287,0.8659568619701744,2.029425586088925,724
2017,2,22.0,4.329036,4.0,4.329036,2144153,0.9176916535070191,2.285313385089688,661
2017,3,22.0,4.326491,4.0,4.326491,2140139,0.5307361019225348,1.4564947219798579,672
2017,4,22.0,4.3320403,4.0,4.3320403,2155901,0.6814787381944202,1.9360827043805973,672
2017,5,22.0,4.3312225,4.0,4.3312225,2151251,0.8685093588211956,2.300515406395688,680
2017,6,22.0,4.331653,4.0,4.331653,2153360,0.9893301995508992,2.5848045766687493,663
2017,7,22.0,4.33123,4.0,4.33123,2161849,0.6991014934494382,1.8731909177135468,672
2017,8,22.0,4.334811,4.0,4.334811,2161642,0.8011858072812256,2.1288839550837593,682
2017,9,22.0,4.331489,4.0,4.331489,2152820,0.8093000255976676,2.214626929965809,691
2017,10,22.0,4.335996,4.0,4.335996,2161036,0.8265446923169991,2.328768401756779,677
2017,11,22.0,4.327466,4.0,4.327466,2144673,0.6637167849323966,1.877551363942344,704
