Year,Month,Q_m3s,Qs_kgm3
1991,1,4950,0.080290323
1991,2,5060.714286,0.064821429
1991,3,4223.225806,0.059483871
1991,4,5620.666667,0.173033333
1991,5,9794.516129,0.336612903
1991,6,16560,1.120333333
1991,7,26909.67742,1.854193548
1991,8,29154.83871,1.84
1991,9,19776.66667,1.263666667
1991,10,15096.77419,0.8
1991,11,8716.666667,0.333333333
1991,12,6007.419355,0.135806452
1992,1,4895.806452,0.098774194
1992,2,4393.103448,0.070965517
1992,3,6432.258065,0.130096774
1992,4,10020.66667,0.272333333
1992,5,15850.96774,0.618709677
1992,6,18980,0.845666667
1992,7,25880.64516,1.373225806
1992,8,17680.64516,1.15
1992,9,13873.33333,0.659666667
1992,10,15358.06452,0.588709677
1992,11,8069.333333,0.219333333
1992,12,4779.032258,0.083677419
1993,1,4324.193548,0.070903226
1993,2,4585.357143,0.132964286
1993,3,5426.129032,0.161967742
1993,4,6577,0.1175
1993,5,10419.35484,0.335548387
1993,6,10723.66667,0.445333333
1993,7,22616.12903,1.507096774
1993,8,33174.19355,1.650967742
1993,9,27776.66667,1.23
1993,10,16909.67742,0.565483871
1993,11,11858.66667,0.452666667
1993,12,7028.387097,0.143645161
1994,1,4788.064516,0.053483871
1994,2,3927.857143,0.03725
1994,3,4676.774194,0.031290323
1994,4,7905,0.1296
1994,5,9180.967742,0.238935484
1994,6,16375,0.805333333
1994,7,18635.48387,1.100645161
1994,8,11164.51613,0.564193548
1994,9,16970,0.98
1994,10,16335.48387,0.56516129
1994,11,9245.333333,0.21
1994,12,7705.806452,0.096580645
1995,1,5744.193548,0.114935484
1995,2,4808.214286,0.064571429
1995,3,5161.935484,0.077903226
1995,4,6294.333333,0.065366667
1995,5,9072.580645,0.152258065
1995,6,19333.33333,1.090333333
1995,7,26303.22581,1.252903226
1995,8,22903.22581,1.537419355
1995,9,18066.66667,1.003333333
1995,10,16980.64516,0.623870968
1995,11,9233.333333,0.211333333
1995,12,6394.83871,0.100677419
1996,1,4969.032258,0.080064516
1996,2,4262.413793,0.061172414
1996,3,4487.096774,0.07283871
1996,4,6785.333333,0.1262
1996,5,11689.03226,0.359354839
1996,6,17766.66667,0.676666667
1996,7,30303.22581,1.42483871
1996,8,21877.41935,1.202258065
1996,9,16096.66667,0.615666667
1996,10,12260.32258,0.332258065
1996,11,12001.66667,0.429333333
1996,12,5625.16129,0.097064516
1997,1,4230.967742,0.053354839
1997,2,4182.5,0.04125
1997,3,5475.806452,0.063806452
1997,4,7998,0.106233333
1997,5,11036.77419,0.351806452
1997,6,14864.66667,0.741
1997,7,28464.51613,1.772258065
1997,8,16206.45161,1.183870968
1997,9,12179.66667,0.890333333
1997,10,13318.70968,0.786774194
1997,11,7029.333333,0.183166667
1997,12,5321.935484,0.07783871
1998,1,4576.774194,0.059870968
1998,2,3886.428571,0.062285714
1998,3,4276.774194,0.065032258
1998,4,5859.333333,0.158466667
1998,5,11284.51613,0.464935484
1998,6,14377,0.565233333
1998,7,38729.03226,2.159354839
1998,8,43712.90323,1.814516129
1998,9,25410,1.279033333
1998,10,13332.25806,0.656225806
1998,11,8225.666667,0.275466667
1998,12,5827.096774,0.147677419
1999,1,4991.612903,0.101387097
1999,2,4470.714286,0.043214286
1999,3,3715.483871,0.037774194
1999,4,5953.666667,0.313066667
1999,5,12172.58065,0.397612903
1999,6,17180,0.674466667
1999,7,36545.16129,1.457548387
1999,8,22870.96774,1.174096774
1999,9,23536.66667,1.203666667
1999,10,14538.70968,0.577032258
1999,11,12866.66667,0.402833333
1999,12,7561.612903,0.221774194
2000,1,5036.129032,0.129387097
2000,2,4830,0.107
2000,3,5939.032258,0.136483871
2000,4,7171.666667,0.131066667
2000,5,7623.870968,0.141129032
2000,6,19646.66667,1.101933333
2000,7,30770.96774,1.457032258
2000,8,22845.16129,1.072645161
2000,9,23103.33333,0.9666
2000,10,19941.93548,0.626193548
